"Tissue"	"CAH1"	"CAH2"	"CAH3"	"CAH4"	"CAH5"	"CAH6"	"CAH7"	"CAH8"	"CAH9"	"CARP-A"	"CARP-B"	"CAH13"	"CAH14"	"CAH15"	"CAH16"
"Brain"	"1566"	"22"	"292"	"4"	"4"	"1"	"1329"	"23"	"8"	"114"	"16"	"1"	"2"	"8"	"0"
"Head"	"1652"	"394"	"279"	"1"	"26"	"1"	"553"	"2"	"117"	"20"	"67"	"2"	"1"	"9"	"0"
"Eye"	"2577"	"389"	"224"	"1"	"2"	"1"	"126"	"4"	"124"	"2"	"47"	"4"	"2"	"6"	"6"
"Thoracicoabdominal ganglion"	"1279"	"17"	"284"	"6"	"5"	"0"	"2068"	"20"	"29"	"200"	"12"	"3"	"0"	"10"	"1"
"Salivary gland"	"13574"	"1061"	"902"	"12"	"13"	"2"	"112"	"8"	"4240"	"14"	"4"	"5"	"2"	"27"	"5"
"Crop"	"448"	"23"	"382"	"4"	"9"	"2"	"10"	"2"	"46"	"3"	"2"	"5"	"2"	"10"	"1"
"Midgut"	"2982"	"625"	"546"	"2"	"4"	"1"	"434"	"1"	"148"	"3"	"8"	"5"	"1"	"8"	"1"
"Tubule"	"978"	"516"	"1303"	"4"	"182"	"1"	"16"	"14"	"13"	"5"	"7"	"3"	"3"	"11"	"2"
"Hindgut"	"2906"	"118"	"585"	"4"	"34"	"0"	"364"	"1"	"941"	"2"	"8"	"1"	"1"	"13"	"0"
"Heart"	"375"	"14"	"286"	"1"	"3"	"0"	"290"	"4"	"52"	"3"	"107"	"2"	"3"	"5"	"0"
"Fat body"	"641"	"15"	"340"	"5"	"8"	"1"	"682"	"2"	"68"	"4"	"243"	"2"	"2"	"11"	"0"
"Ovary"	"23"	"55"	"979"	"2"	"7"	"0"	"168"	"0"	"12"	"1"	"6"	"1"	"0"	"4"	"0"
"Testis"	"121"	"42"	"33"	"26"	"243"	"0"	"16"	"6"	"21"	"2"	"1"	"1145"	"312"	"281"	"3"
"Male accessory glands"	"85"	"4"	"1456"	"8"	"14"	"18"	"11"	"6"	"8"	"6"	"3"	"4"	"1"	"4"	"1702"
"Virgin spermatheca"	"587"	"60"	"597"	"7"	"9"	"1"	"1918"	"322"	"12"	"4"	"103"	"2"	"1"	"11"	"1"
"Mated spermatheca"	"527"	"56"	"615"	"9"	"8"	"0"	"683"	"348"	"14"	"6"	"166"	"3"	"1"	"9"	"0"
"Adult carcass"	"669"	"193"	"239"	"16"	"11"	"1"	"559"	"1"	"163"	"8"	"107"	"8"	"1"	"13"	"1"
"Larval CNS"	"1204"	"48"	"347"	"3"	"3"	"0"	"694"	"16"	"25"	"81"	"6"	"1"	"0"	"8"	"0"
"Larval Salivary gland"	"1389"	"39"	"636"	"4"	"9"	"1"	"14"	"3"	"15"	"3"	"28"	"4"	"0"	"11"	"0"
"Larval midgut"	"2591"	"129"	"942"	"5"	"11"	"1"	"475"	"1"	"316"	"7"	"9"	"4"	"0"	"15"	"5"
"Larval tubule"	"1082"	"3"	"994"	"5"	"20"	"1"	"25"	"0"	"2"	"3"	"2"	"4"	"1"	"13"	"1"
"Larval hindgut"	"3961"	"1248"	"498"	"4"	"2"	"1"	"176"	"2"	"348"	"7"	"14"	"5"	"0"	"9"	"0"
"Larval fat body"	"246"	"5"	"765"	"8"	"11"	"4"	"33"	"2"	"2"	"5"	"988"	"218"	"49"	"43"	"2"
"Larval trachea"	"4730"	"833"	"565"	"4"	"6"	"0"	"76"	"4"	"5636"	"4"	"12"	"8"	"2"	"2"	"0"
"Larval carcass"	"3427"	"189"	"328"	"4"	"8"	"1"	"503"	"4"	"73"	"2"	"4"	"8"	"1"	"11"	"0"
"S2 cells (growing)"	"14"	"1"	"1013"	"5"	"7"	"0"	"370"	"2"	"2"	"2"	"1"	"2"	"0"	"8"	"1"
"Whole fly"	"478"	"102"	"492"	"4"	"21"	"0"	"193"	"5"	"64"	"4"	"30"	"79"	"19"	"28"	"16"
